No,Name,UEN,Short Intro,Date incorporated,Sector,Funding Stage,Employee range,Tags,Description,Address,Website,Emails,Phone,Team,Funding Stage,Total Funding,Funding Rounds,Rounding Raised
750,EARNGO,UEN 201311703D,crowdsourcing company,1 May 2013,Infotech,Pre-seed,—,,"EARNGO is an innovative crowdsourcing solution company, which reaches out to its customers via the mobile channel.Earngo is also an innovative solution for Data Digitization. Printed or Handwritten data is digitized with a combination of algorithms and crowd sourced humans","INTERNATIONAL PLAZA 10 ANSON ROAD, #26-04, Singapore 079903",http://www.earngo.com/,info@earngo.com,+65 96826564, ,Pre-seed,—,—, 
751,EARTH STONE SOLUTIONS,UEN 201100569N,—,5 January 2011,—,Pre-seed,—,, ,"IMM BUILDING 2 JURONG EAST STREET 21, #02-178, Singapore 609601",http://www.earthstonesolutions.com/, ,+65, ,Pre-seed,—,—, 
752,Earthcore Software,UEN 201411478G,Web and mobile development services,22 April 2014,Infotech,Pre-seed,—,Web Development,"WEB DEVELOPMENTDesign and development of responsive websites, for branding, e-commerce or corporate purposes. Crafted beautifully from scratch, or developed based on matured platforms like Wordpress and Opencart. Also experienced in HTML5, JQuery, Bootstrap, PHP, ASP.Net MVC technologies.Design and development of mobile applications for Android and iOS platforms, either through cost effective cross-platform Cordova platform, or optimized native iOS Swift/Objective-C or native Android development using Java. CUSTOMIZED SOFTWAREWe help you build customized software solutions specific for your business, which you are unable to find off the shelf, or designed and build with your domain expertise to bring your business to have a better edge over your competitors. It can be a combination of web, mobile application and/or Windows desktop application. SOFTWARE CONSULTANCY","Progen Building 28 Riverside Road, #03-1, Singapore 739085",http://www.earthcore.sg,info@earthcore.sg, , ,Pre-seed,—,—, 
753,East valley Tech,UEN 201228849D,Business Consultant,23 November 2012,Infotech,Pre-seed,—,,"East Valley Tech (S) Pte. Ltd offers information, analysis, and recommendations on best practices that improve our client’s project management capability and their bottom line. East Valley Tech also provide skilled experts to client teams when they need to fill internal skills gaps.","GOLDEN WALL CENTRE 89 Short Street, #09-08B, Singapore 188216",http://evalleytech.com/,info@evalleytech.com,+65 65023938, ,Pre-seed,—,—, 
754,EAST WEST INNOVATIVE SOLUTIONS PTE. LTD.,UEN 201329386H,—,31 October 2013,—,Pre-seed,—,, ,"488 SIMS AVENUE, #02-00, Singapore 387560",https://www.ewis-asia.com/,contact@ewis-asia.com,+65 66786622,"Patrick Veron,Founder",Pre-seed,—,—, 
755,Eatsy Technologies Pte. Ltd,UEN 201726141Z,Mobile Ordering and Payment Application,13 September 2017,Food & Beverage,Seed,1 - 10 employees,Platform;Payment Systems;IoT,"Eatsy Technologies is a Singapore-based restaurant technology company that aims to help restaurants to simplify their operations and retain their in-dining customers, using a single platform. The application automatically captures unique diner data meaningful to restaurant owners to help them to help you Identify, Reward and Retain diners. Diners receive Cashback incentives when they order and pay in restaurant with the Diners App, while enjoying personalised in-app promos from their favourite restaurants. Backed by Quest Ventures, a leading venture fund for technology companies, Eatsy aims to revolutionise the mobile ordering and payment system.","FAR EAST SHOPPING CENTRE 545 ORCHARD ROAD, #08-07A, Singapore 238882",https://eatsyapp.co/,hello@eatsyapp.co,+65 9012 3037,"Shaun Heng,Founder, Chief Executive Officer (CEO);Lim Gang Yi,Chief Technology Officer (CTO)",Seed,USD 425.9K,2,"26 Jun 2018,USD 404.0K,Seed,Wee Teng Wen, Vikram Rupani, Roger Egan, Rajesh Lingappa, Quest Ventures(5);26 Jun 2018,USD 21.9K,Seed,Quest Ventures(1)"
756,ECO CONSUMER SERVICES,UEN 201110423C,Cognitive computing technology provider,3 May 2011,—,Pre-seed,11 - 50 employees,,Eco was a product development project which commercialized a cognitive computing technology to be used to improve customer experience. The company has been acquired by the CX Group.,"67 AYER RAJAH CRESCENT, #03-20, Singapore 139950",http://www.geteco.com/,support@cxquest.com, , ,Pre-seed,—,—, 
757,ECO WORKS,UEN 53335411X,Website Development Company,24 April 2016,Infocomm Tech,Pre-seed,1 - 10 employees,Web Development,"Ecoworks takes pride in inventing, conceptualizing, designing, developing and deploying websites and applications that its clients love.Ecoworks comes up with dynamic, custom strategies utilizing web design, development, technology and system integration to grow businesses and allow them to operate at peak on and offline and take advantage of niche markets and opportunities.Ecowork's original, idea-driven site designs can be found across a broad range of industries, from education and real estate to health care, travel, and tourism and retail.","108 WOODLANDS STREET 13, #05-156, Singapore 730108",http://www.ecoworks.ca/, , , ,Pre-seed,—,—, 
758,ECO-LIGHT GLOBAL,UEN 201226565H,LED Light provider,29 October 2012,Retail,Pre-seed,—,,"Eco-Light Global Pte provides customer with various LED product, and to partnership with oversea partner for LED project and distribution channel.","128 TANJONG PAGAR ROAD, #-, Singapore 088535",http://www.ecolight-global.com.sg/,kenttan@ecolight-global.com.sg,+65 64932578, ,Pre-seed,—,—, 
759,ECO-SPACE(S),UEN 201012035G,Green manufacturing company,7 June 2010,Cleantech,Pre-seed,—,,ECO Space Pte Ltd create green manufacturing solutions that enhance corporate sustainability through analytical quantification & technology,"TECHPLACE II 5002 ANG MO KIO AVENUE 5, #01-07/11, Singapore 569871",http://www.eco-space.com.sg/,ask-us@eco-space.com.sg,+65 64846977, ,Pre-seed,—,—, 
760,Eco-Wiz,UEN 201013270H,Food Waste Management,23 June 2010,Food Manufacturing & Processing,Pre-seed,11 - 50 employees,,"ECO-WIZ Group Pte Ltd is an onsite food waste management companies. The company was founded in 2010.ECO-WIZ specializes in helping organizations to develop on-site food waste management, water treatment and automation solutions","5014 ANG MO KIO AVENUE 5, #06-01/04, Singapore 569881",http://www.eco-wiz.com/,info@eco-wiz.com,+65 65700500,"Renee Mison,Chief Executive Officer (CEO)",Pre-seed,—,—, 
761,ECOGENERATION INTERNATIONAL PTE. LTD.,UEN 201312147G,hardware and software for industrial processing,6 May 2013,Industrial Electronics,Pre-seed,—,,"Ecogeneration International Pte Ltd is a young and dynamic company that focuses on innovative ideas & concepts in line with industrial processing. they have been developing and innovating hardware and software products in this industry and have established a strong distribution network in Singapore (HQ), China, Asean, and Central America. ","7 KALLANG PLACE, #02-08, Singapore 339153",http://www.ecogenerationintl.com/,enquiries@ecogenerationintl.com,+65 81689993, ,Pre-seed,—,—, 
762,EcoLine,UEN 201408328E,Solar thermal air conditioning,24 March 2014,"Urban Solutions, Cleantech, Manufacturing & Engineering",Pre-seed,—,,"Ecoline is a designer and manufacturer of solar thermal air conditioners which are the most energy efficient air conditioners in the market today.Ecoline was founded based on the belief that environmentally friendly and ecologically sustainable options for commercial and residential use should be developed in order to leave a clean healthy world for generations to come. Since its inception in 2003, Ecoline has been designing, distributing and manufacturing products designed to minimize and eliminate harm to the environment and ecosystems. Products have ranged from organic fertilizers to energy saving devices.","NORTH SPRING BIZHUB 7 YISHUN INDUSTRIAL STREET 1, #02-37, Singapore 768162",http://ecolinesolar.com/,sales@ecolinesolar.com,+65 63699983,"James Yip,Founder",Pre-seed,—,—, 
763,Ecosoft,UEN 201220761R,Wastewater and Environmental Service Provider,22 August 2012,Others,Pre-seed,11 - 50 employees,,"A globally-networked innovation catalyst that specialises in decentralized and integrated management of water, wastewater and environmental services. Their technology-based solutions create measurable change and lasting impact in both the developed and developing world. As a social enterprise, they are built on the foundations of creating social impact whilst achieving sustainable growth.","73 AYER RAJAH CRESCENT, #03-10, Singapore 139952",http://ecosoftt.org,contactus@ecosoftt.org,+65 69085698,"Stanley Samuel,,Co-founder, Chief Executive Officer (CEO);Marcus Lim,Co-founder",Pre-seed,—,—, 
764,EcoViro,UEN 201108625E,clean energy technology solutions provider,10 April 2011,Media,Pre-seed,—,Media,"EcoViro is founded by 3 NTU graduates, and they envision themselves to advocate “green” in a creative style. The company's mission is to develop media and sustainable technologies as an interactive platform to encourage a green lifestyle.The company has achieved Finalist in Rotary Youth for Social Enterprise Challenge (RYSEC) 2011 held in National University of Singapore (NUS), and Semi-finalist in Ideas Inc. Business Challenge 2011 held in Nanyang Technological University (NTU).","434 HOUGANG AVENUE 8, #09-906, Singapore 530434",http://www.ecoviro.com/,wilson@ecoviro.com,+65 96461836, ,Pre-seed,—,—, 
765,EcoWorth Tech Pte Ltd,UEN 201606458M,Manufacturer of Waste Recycling Facilities,11 March 2016,Cleantech,Seed,—,,"EcoWorth Tech operates a waste recycling facility that recycles waste materials into reusable products with value. EcoWorth's ""Carbon Fibre Aerogel"" was developed at Nanyang Technological University with the ability to absorb a variety of organic material from wastewater. This allows waste to be filtered from wastewater and disposed of responsibly while also allowing certain materials such as biofuels to be recovered through the process in some situations. EcoWorth's Carbon Fibre Aerogel can be derived from a variety of cellulose-based materials such as cotton or waste paper while being reusable for multiple uses as well. EcoWorth strives to continue commercialising its ""Carbon Fibre Aerogel"" with the goal of mass adoption in industries such as Food Waste, Oil & Gas as well as other CleanTech & Ecological applications.","CITYLIGHTS 80 JELLICOE ROAD, #06-02, Singapore 208766",https://www.ecoworth-tech.com/,kim.wimbush@ecoworth-tech.com, ,"Andre Stolz,Chief Executive Officer (CEO);Bert Grobben",Seed,USD 777.0K,1,"11 Dec 2017,USD 777.0K,Seed,Budding Innovations(1)"
766,Ectivise,UEN 201134999K,Passive Optical Networks solutions provider,6 December 2011,"Infotech, Infocomm Tech",Pre-seed,1 - 10 employees,,"Ectivise Solutions Pte Ltd, headquartered in Singapore, is a pioneer and leader in Passive Optical Networks (PON) and Integrated Optical Backbone Architecture (IOBA) solutions.Ectivise Solutions is an expert in large-scale network planning and a pioneer in ICT integrated infrastructure solutions utilizing Integrated Optical Backbone Architecture (IOBA) – our unique design based on Passive Optical Networks (PON) technology. PON is a future-proof green technology that offers ultrafast data transmitting experience and saves vast amount of floor space and electricity consumption as compared to traditional copper networks.","TELETECH PARK 20 SCIENCE PARK ROAD, #02-15, Singapore 117674",http://www.ectivise.com,info@ectivise.com,+65 91555044, ,Pre-seed,—,—, 
767,EDELFORGE PRIVATE LIMITED,UEN 201401948D,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON ENGINEERI,20 January 2014,Infotech,Pre-seed,—,, ,"CHESTNUT VILLE 16 JALAN PAKIS, #-, Singapore 678602", , , , , , 
768,Edge Digital,UEN 53271087L,—,19 August 2014,Infotech,Pre-seed,—,Application Development, ,"HIGH STREET PLAZA 77 HIGH STREET, #07-08, Singapore 179433",http://edgedigital.sg/,consult@edgedigital.sg,+65 96966854,"Tuck Weng Lai,Founder",Pre-seed,—,—, 
769,EDGEBOTIX PTE. LTD.,UEN 201429398G,—,2 October 2014,—,Pre-seed,—,, ,"60 JALAN TANAH PUTEH, #-, Singapore 457361",http://www.edgebotix.com/,info@edgebotix.com, , ,Pre-seed,—,—, 
770,Edgeworks,UEN 201002583D,Point of Sale Solutions,2 February 2010,Infotech,Pre-seed,11 - 50 employees,,Edgeworks Solutions specializes in Point-Of-Sale Systems and is expert in retail industry. Their system widely adopted by many SMEs in locally and overseas. S,"CT HUB 2 KALLANG AVENUE, #08-10, Singapore 339407  Mutiara Taman Palem Blok A17/39 Lt. 2, Kelurahan Cengkareng Timur, Kecamatan Cengkareng Jakarta Barat 11730 ID",http://www.edgeworks.com.sg,sales@edgeworks.com.sg;support@edgeworks.com.sg,+65 67504498,Ryan Ng,Pre-seed,—,—, 
771,Edlution,UEN 201316579K,IT consulting services and Custom Software Development,19 June 2013,Infotech,Pre-seed,1 - 10 employees,,Edlution is a provider of IT consulting services and custom software development. They are dedicated to help company to leverage on IT solutions to bring the company's business to the next level. ,"THE PLAZA 7500A BEACH ROAD, #04-326, Singapore 199591",https://edlution.com.sg/,sales@edlution.com.sg,+65 91824234, ,Pre-seed,—,—, 
772,EDTERPRISE,UEN 53257477W,advertising solutions provider,26 March 2014,"Adtech, Infotech",Pre-seed,—,,Edterprise is specialises in providing classifieds. Car rental is the main classified offered. They also offer fleet management programs.,"405 JURONG WEST STREET 42, #08-603, Singapore 640405",https://www.enterprise.com/en/home.html,user@edterprise.com,+65 8000000, ,Pre-seed,—,—, 
773,EDUMOBILEAPPS PTE. LTD.,UEN 201431538G,—,22 October 2014,—,Pre-seed,—,, ,"MIDVIEW CITY 22 SIN MING LANE, #05-85, Singapore 573969", , , , ,Pre-seed,—,—, 
774,EFFRO PTE. LTD.,UEN 201430949M,Online event planning marketplace,16 October 2014,Infotech,Pre-seed,1 - 10 employees,,"Effro is an online event marketplace that gathers event resources onto a single platform giving access to every individual organizing event. Event resources include vendors and talents such as Magicians, Influencers, Models etc.  Effro hopes to be the bridge between the event resources with the event organizers. ","147 POTONG PASIR AVENUE 1, #02-89, Singapore 350147",https://www.effro.com/, ,+65 6303 3067, ,Pre-seed,—,—, 
775,EFP INNOVATION PTE. LTD.,UEN 201512182K,Mobile app developer,6 May 2015,Others,Pre-seed,1 - 10 employees,,"They develop mobile apps that focus on assisting people to search and request for goods and services in their community to share, rent or swap, focusing on Peer-to-Peer economy.They strive to be the most respected people-minded technology company in Asia that educate and inspire people to develop sustainable lifestyleThey aim to develop innovative Peer-to-peer sharing economy platforms that inspire smarter choices for a sustainable future through exchanging or monetizing personal’s possessions & resources.","VERTEX 33 UBI AVENUE 3, #08-68, Singapore 408868",https://e27.co/startup/efp-innovation-pte-ltd, , , ,Pre-seed,—,—, 
776,EFR SUCCESS SOLUTIONS PTE. LTD.,UEN 201200723K,—,9 January 2012,—,Pre-seed,—,, ,"QUARTZ INDUSTRIAL BUILDING 5 UPPER ALJUNIED LINK, #04-06, Singapore 367903", , , , ,Pre-seed,—,—, 
777,EFusion Technology,UEN 201216251K,website designers and developers,2 July 2012,Infotech,Pre-seed,1 - 10 employees,,"Efusion Technology is a creative web design interactive agency based in Singapore. They specialise in web design, web application development, flash interactive microsite, email marketing, content management system and online marketing campaigns. Efusion Technology also provides eCommerce solution with oscommerce, content management system (CMS) solution with Joomla. They also provides SMS solutions, Point of Sales (POS) systems, web hosting and customized solutions. ","321A BEACH ROAD, #-, Singapore 199557",https://www.efusiontech.com/,contact@efusiontech.com,+65 62923086, ,Pre-seed,—,—, 
778,EGIDE PTE. LTD.,UEN 201527805D,Authentication Technology,2 July 2015,"Infotech, Infocomm Tech",Pre-seed,1 - 10 employees,Cyber Security,"Based in Singapore, ÉGIDE provides organisations with leading-edge authentication technology, empowering businesses and consumers to protect themselves against product counterfeiting. The company has developed a fully-owned encryption system that combines smart card technologies and NFC technologies. It aims to provide secure digital brand protection platform and guaranteed trust of product authenticity.","2 LOYANG WAY 1, #-, Singapore 508703",https://www.egide.com.sg/,arthur@egide.com.sg,+65 +06563860863, ,Pre-seed,—,—, 
779,Eglinton Labs,UEN 201322399Z,"Big data, Data analytics and product development",19 August 2013,Infotech,Pre-seed,1 - 10 employees,Data Analytics,"Founded in 2013, Eglinton Labs is a tech company working with technology startups in Singapore, Ireland, USA, and the UK. Their specialty is predictive analytics, data-driven applications.","71 AYER RAJAH CRESCENT, #07-22, Singapore 139951",http://eglintonlabs.com.sg/,connect@eglintonlabs.com, ,"James Galvin,Founder",Pre-seed,—,—, 
780,EIDEAS TECHNOLOGY PTE. LTD.,UEN 201333034Z,Enterprise Digital Solutions Provider,9 December 2013,"Infotech, Enterprise Solutions, Infocomm Tech",Pre-seed,11 - 50 employees,Software Solution;Enterprise Solutions,"Eideas aims to upgrade the landscape of business processes by creating future-proof and innovative digital solutions.Eideas’ POS System helps businesses to enhance efficiency and manage operations. The MITO serves as a personalized solution for businesses, helping to optimize every transaction to enable businesses to achieve their objectives.Eideas has established a scalable network of operations across Singapore, Thailand and Sri Lanka and is a member of ASME (Singapore) with RMC certified consultants (Singapore).","FORTUNE CENTRE 190 MIDDLE ROAD, #11-04, Singapore 188979",http://www.eideashq.com/,enquiry@eideasmedia.com,+65 022368411, ,Pre-seed,—,—, 
781,EIDYIA TECHNOLOGIES,UEN 53158079B,EMC System Solution Provider,21 December 2009,Enterprise Solutions,Pre-seed,—,,"Eidyia Technologies is founded in 2009 and based in Singapore. They have 2 other representative offices in Changzhou, Jiangsu China and Shenzhen, Guangdong China. Before their founding years, all their key appointment holders had serviced and worked in the EMC and RF Wireless fields for some years, with the most experienced serving more than 2 decades. Despite being relatively new as an enterprising engineering company, they are rich in experience and knowledge in EMC and RF Wireless fields for both chambers and systems solutions.As a high quality chamber solutions and system integration company in our areas of territorial influences, besides being reseller to many known brands in the EMC & RF Wireless industry, they are able to offer full turnkey solutions with some engineering works and on-site trainings in EMC and RF solutions for regional markets.","URBAN VISTA 20 TANAH MERAH KECHIL LINK, #10-39, Singapore 465426",http://www.eidyia.com.sg/,enquiries@eidyia.com.sg,+65 90266338, ,Pre-seed,—,—, 
782,Einsights,UEN 201202771E,Business Analytics Tool Provider,6 February 2012,Others,Pre-seed,11 - 50 employees,,"Einsights Pte Ltd was incorporated in 2012. The company's product, Einsights, is the business analytics tool built for the inquisitive mind.  Einsights have offices in five countries, and the company seeks to attract and retain only the best talent.  They are a dynamic, innovative and fast growing organisation with a mission to make a fundamental difference in how today's business professionals use and understand their data internally and for their clients.Einsights aims to democratise data and to simplify the corporate decision making process.","PRUDENTIAL TOWER 30 CECIL STREET, #19-08, Singapore 049712",https://einsights.com,hello@einsights.com,+65 98369864, ,Pre-seed,USD 200.0K,1,"6 Nov 2015,USD 200.0K,Undisclosed,Wavemaker Partners(1)"
783,EISOL,UEN 201317457E,IT solution provider,28 June 2013,"Retail, SaaS",Pre-seed,1 - 10 employees,SaaS;Cloud;Application Development;E-Commerce,"EISOL is a premium IT solution provider specialized retail, services and F&B business. They provide integrated cloud based solutions that solve real problem for SME client.","336 BUKIT BATOK STREET 32, #10-301, Singapore 650336",http://www.eisol.net/,hi@eisol.net;kelvin@eisol.net,+65 66816538,"Kelvin Low,Founder, Chief Executive Officer (CEO), Chief Technology Officer (CTO), Chief Marketing Officer (CMO)",Pre-seed,—,—, 
784,ELAYLONG PTE. LTD.,UEN 201324353R,eCommerce Marketplace,9 September 2013,Infocomm Tech,Pre-seed,—,,Elaylong Pte Ltd was established in the year 2013 and started its web-based business at Ubi. Elaylong is specialized in selling goods using web-based platforms in Singapore. ,"PAYA UBI INDUSTRIAL PARK 51 UBI AVENUE 1, #05-28, Singapore 408933",https://www.elaylong.com/,RUSSELLOCH91@GMAIL.COM, , ,Pre-seed,—,—, 
785,Elcarim Science Pte. Ltd.,UEN 201219519Z,Security Surveillance System Provider,7 August 2012,Manufacturing & Engineering,Pre-seed,—,,"Elcarim Science (ES), headquartered in Singapore, is a leading supplier of integrated products, services and support to Boundary Security Awareness, Area Reconnaissance & Surveillance, Intelligence Search and Rescue solutions etc. Focused on security & defense technology, ES develops, manufactures and supports a broad range of systems for mission critical and Security sustainment requirements, as well as area security.","UBI TECHPARK 10 UBI CRESCENT, #05-37, Singapore 408564",http://www.elcarimscience.com/,info@elcarimscience.com,+65 67491171, ,Pre-seed,—,—, 
786,ELE CONSULTANCY,UEN 53242211B,Software Consultation provider,30 July 2013,Infotech,Pre-seed,—,, ,"UB. ONE 81 UBI AVENUE 4, #05-20, Singapore 408830", , , , ,Pre-seed,—,—, 
787,Elegance Systems,UEN 201334471M,Point of sales system solutions,25 December 2013,"Infotech, Retail, Food & Beverage",Pre-seed,1 - 10 employees,E-Commerce;Web Development;Customer Relationship Management;Retail;Food & Beverage,"The company provides point of sale systems solutions.Elegance systems provide restaurant mobility solutions which is built using the latest IOS and Android technologies for restaurant ordering, table, E-menu and Cashier systems. Elegance systems also provide Queue management system solutions suitable for banks, service centre, F&B and clinics.The company also provides waiting calling, CCTV, bio-metric time attendance, E-commerce, and accounting system solutions.Restaurant Mobility is their second most popular product. Elegance systems also provides intelligent Queue Management system and a Digital Signage System that facilitates users to schedule their content with full of flexibility an freedom.","WOODLANDS 11 11 WOODLANDS CLOSE, #04-37, Singapore 737853",http://elegancesystem.com/,sales@elegancesystem.com,+65 6582336257, ,Pre-seed,—,—, 
788,ELEMAT TECHNOLOGY PTE. LTD.,UEN 200819657Z,—,9 October 2008,—,Pre-seed,—,, ,"681D WOODLANDS DRIVE 62, #09-63, Singapore 734681", , , , ,Pre-seed,—,—, 
789,Elfion Solutions,UEN 201023398N,"Software Development, System Integration and Payroll",2 November 2010,"Infotech, Infocomm Tech",Pre-seed,1 - 10 employees,,"Elfion Solutions is a Singapore firm specialising in the Software Development, System Integration and Payroll Outsourcing.  They provide a good quality, timely delivered and cost-effective software development, project management/consulting capabilities and Payroll outsourcing that provide their clients with the most adaptive and customised solutions needed to support the daily operations of a corporation. ","WCEGA TOWER 21 BUKIT BATOK CRESCENT, #12-79, Singapore 658065",http://www.elfion.com/,contactus@elfion.com,+65 65925580, ,Pre-seed,—,—, 
790,ELI SOFTWARE PRIVATE LIMITED,UEN 201534624W,AI Software Research Company,15 September 2015,Infocomm Tech,Pre-seed,1 - 10 employees,Artificial intelligence,"ELI Software aims to enable organizations develop ""Software That Learns"", which is an AI software will adapt and modify itself as it self-learns the evolving processes.ELI Software has developed a low-code software builder for AI knowledge driven applications targeted at domain experts with easy to configure rules and knowledge engine. This engine is able to process and represent transactions, discussions, events, knowledge libraries, and process journey mapping. A prototype of the knowledge graphing engine had been created in Java showing it's ability to handle fundamental knowledge representation of concept, alternatives, time, must-haves, probability, and divisibility.In the next phase, text analytics will be added to process the unstructured and document based content with key capabilities such as sentiment analysis and concept mapping using the ELI knowledge tree. ","SOLSTICE BUSINESS CENTER 23 NEW INDUSTRIAL ROAD, #04-08, Singapore 536209", , , , ,Pre-seed,—,—, 
791,ELITE CONCRETE PTE. LTD.,UEN 201116222Z,—,7 July 2011,—,Pre-seed,—,, ,"WOODLANDS HORIZON 31 WOODLANDS CLOSE, #06-35, Singapore 737855",http://www.eliteconcrete.com.sg/display/home.asp, , , ,Pre-seed,—,—, 
792,ELIZABETH-ZION TECHNOLOGY PTE. LTD.,UEN 201510794Z,—,22 April 2015,—,Pre-seed,—,, ,"162 YUNG PING ROAD, #10-21, Singapore 610162", ,joe.sagar@elizabeth-zion.com.sg, , ,Pre-seed,—,—, 
793,ELXR,UEN 201811981K,Physical Training Consultancy Service,9 April 2018,Healthcare,Pre-seed,1 - 10 employees,Digital Health;Healthcare;Lifestyle,"EXLR is a physical training and nutrition consultancy service provider that provides training advice based on the results of genetic testing. EXLR believes that most people do not know how to exercise properly, and normally follow the latest trends with little knowledge, thus resulting in injuries. With genetic testing, ELXR is able to develop a bespoke programme for clients to exercise progressively in a safe and structured manner. ","BLK 73 73 AYER RAJAH CRESCENT, #01-01-08, Singapore 139952",http://www.the-elxr.com/, , , ,Pre-seed,—,—, 
794,eMailer,UEN 201503335G,Email Marketing Software developer,3 February 2015,"Adtech, Infotech, Enterprise Solutions",Pre-seed,1 - 10 employees,,"eMailer helps client grow their businesses by providing them with marketing softwares. It aims to give businesses the ability to increase their sales revenue, connect with existing and potential customers, offering a dynamic all-in-one fully integrated email marketing software solution. The company focuses in areas such as marketing automation, responsive email design, ready-to-use email templates, landing page creator, and useful statistical analysis tools to determine the successfulness of your email campaign.","FERNVALE LODGE 446C JALAN KAYU, #22-338, Singapore 793446",http://www.emailer.com.sg/,eric@emailer.com.sg,+65 6602-8106, ,Pre-seed,—,—, 
795,Ematic Solutions,UEN 201111609G,AI Powered Marketing Solution Provider,16 May 2011,Adtech,Pre-series A,101 - 200 employees,,"Ematic solutions was founded in 2012 and headquartered in Singapore. They have a presence in SEA and US and are working on opening more offices.Their product is Hi-iQ, a machine learning plug-in that maximises engagement rate from email and lowering email cost by excluding emails from disengaged users. ","CUPPAGE TERRACE 29A CUPPAGE ROAD, #02-00, Singapore 229456",https://www.ematicsolutions.com/,support@ematicsolutions.com, , ,Pre-series A,USD 4.5M,3,"14 Mar 2017,USD 2.4M,Pre-series A,Wavemaker Partners, Walden International, MDI Ventures, Convergence Ventures(4);25 Feb 2016,USD 1.0M,Pre-series A,MDI Ventures(1);2 Dec 2015,USD 1.1M,Seed,Wavemaker Partners, Convergence Ventures, 500 Startups(3)"
796,Embodied Sensing,UEN 201400577R,Wireless sensor provider,6 January 2014,"Infotech, Manufacturing & Engineering",Pre-seed,1 - 10 employees,Infotech;Manufacturing & Engineering,"Embodied Sensing is a Singapore based technology company established in 2014 with a vision to build a more inclusive society through innovative sensing solutions.Embodied Sensing foster empathy and include users with a range of abilities in their design process. Its about designing for everyone to participate in an experience with a sense of belonging.They help individuals and businesses by augmenting their surroundings with smart connected sensors and providing them with information in the form of events or contextual data.They are working towards an ecosystem of intelligent things where artificial intelligence and big data enable partial or fully autonomous services in the future.Embodied Sensing provides low power wireless sensors that integrate seamlessly with existing infrastructure. From activity monitoring at home, to safety at the workplace, they have the right solution for different sensing needs. While sensors help to collect information about the environment, they believe that data analytics and artificial intelligence is important in providing meaningful inferences and insights to users. ","648 HOUGANG AVENUE 8, #12-217, Singapore 530648",https://www.embodiedsensing.com/,founders@embodiedsensing.com, ,"YEO KIAN PEEN,Co-founder, Chief Executive Officer (CEO);LUO YONG MING,Co-founder",Pre-seed,—,—, 
797,Emerald Medical Services,UEN 201109854W,Medical Equipment Developer & Manufacturer,25 April 2011,"Pharmaceutical, Manufacturing & Engineering",Pre-seed,—,Manufacturing & Engineering,"Emerald Medical Services is incorporated in 2011. The company specializes in the Design & Development, contract-manufacturing and larger-volume manufacturing of complex catheters, covering the range from μCatheters for neuro-applications to AAA systems.Emerald Medical Services provides technologies including Extruded Shafts, Braided/Coiled Shafts, Steerable Shafts, Invovative Technologies, Materials Science and Complete Assemblies.","ADMIRAX 8 ADMIRALTY STREET, #06-16, Singapore 757438",https://www.emmedservices.com/,steve.wiesner@emmedservices.com,+65 66849410, ,Pre-seed,—,—, 
798,EMERGE,UEN T11LL1936D,ERP software provider,25 October 2011,"Infotech, Enterprise Solutions",Pre-seed,11 - 50 employees,E-Commerce,EMERGE creates software for businesses to order their business process and manage their inventory across multi-sales channels for Small and Medium Businesses (SMBs).They provide solutions for:- Inventory Management- Product Management- warehouse Management- order Management- wholesale Management- B2B E-Commerce,"71 AYER RAJAH CRESCENT, #03-16, Singapore 139951",https://emergeapp.net/,support@emergeapp.net, , ,Pre-seed,—,1,"7 Sep 2015,Undisclosed,Undisclosed,TNF Ventures(1)"
799,EMOBI PTE. LTD.,UEN 201504910K,Mobile payments billing solution provider,24 February 2015,"Retail, Lifestyle",Pre-seed,51 - 100 employees,E-Commerce;Payment Systems;Lifestyle,"eMobi is a fast growing financial technology startup, specializing in mobile payments that drive results for e-commerce businesses around the world. They build payment solutions integrating custom mobile marketing campaigns and content services aimed at generating leads and conversions that hit ROI targets. Their network helps brands to connect with millions of consumers ‘On-The-Go’ by facilitating productive partnerships between advertisers and publishers alike. ","MAXWELL HOUSE 20 MAXWELL ROAD, #09-17, Singapore 069113",http://emobi.biz/,info@emobi.biz, , ,Pre-seed,—,—, 
800,EMSON SYSTEMS (S) PTE. LTD.,UEN 201405066C,Software Consultancy and Solution Provider,24 February 2014,Infotech,Pre-seed,—,Infotech,"Established in 2014, EMSON Systems (S) Pte. Ltd. (EMSON) is a solution provider in Information Technology Industry.EMSON focuses on capitalizing on its expertise in the areas of IT Consultancy Service, Software Development and Application Maintenance.EMSON has its Corporate Office in Singapore.EMSON Operation manager has a track record of more than a decade of service of success in the industry with many satisfied customers across Singapore, which includes Singapore Government ministries, Small Medium Enterprises and Multi-National Companies.EMSON focusing and concentrating on providing their best quality solutions to their clients with cost effective and time.","TRIVEX 8 BURN ROAD, #15-03, Singapore 369977",http://www.emson.com.sg,hr@emson.com.sg,+65 65095459, ,Pre-seed,—,—, 
