No,Name,Adress,Phone,Fax,Email,Website,Executive Contact,Classifications,Company Profile
116,CA.SG PAC,"33A , Chander Road Singapore Singapore 219539 219539",+65 6220 2008,+65 6297 9309,info@ca-sg.com,www.ca.sg,MR JASON LEE (PARTNER)MS CHIN EE LIN (PARTNER),"Statutory/ External Audit,Charity Audit,Budgeting,Bankruptcies and/or Liquidations,Company Listing,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Grant Applications,Business Formation/Start-Up,Business Coaching,Business Valuation,Cash Flow Forecasting,Financial and Accounting Processes,Due Diligence","A firm of Chartered Accountants providing cross-border services including assurance, advisory, accountancy, tax, corporate secretarial and business process outsourcing services. CA.sg PAC is also an independent member of EuraAudit International, an international accountancy group which has over 150 well established independent accountancy firms worldwide. EuraAudit International partners CharterGroup, a group specialised in businesses and collaborates with Interlegal, an international network of commercial law firms.At CA.sg PAC, we aim to foster and bridge business opportunities and to be your strategic business partner. Through our connectivity with EuraAudit International, and with a strong team of dynamic staff with varied backgrounds and industry experiences, we are committed to respond to your business challenges with seamless services across industries and countries. You may stay assured that we will be with you in your globalisation plans.Your trust, confidence and success are our commitment to ensure your growth."
117,CAS PUBLIC ACCOUNTING CORPORATION,"9 , Hong Kong Street #05-01 #05-01 Singapore Singapore 059652 059652",+65 6225 5515,+65 6221 1550,N/A,N/A,MR JIMMY CHAN,"Advisory Services,Audit of Gross Turnover (GTO),Filing Tax Returns,GST",
118,CASEY LIN & COMPANY,"10 , Anson Road International Plaza International Plaza #35-11 #35-11 Singapore Singapore 079903 079903",+65 6225 8175,+65 6225 4612,casey@caseylin.com.sg,N/A,MR CASEY LIN,"Advisory Services,Audit of Gross Turnover (GTO),Bookkeeping",
119,CATALYST BUSINESS CONSULTANTS PTE LTD,"13A , Mackenzie Road Singapore Singapore 228676 228676",+65 6227 4180,+65 6324 0213,lisa@klp.com.sg,www.konglim.com.sg,MISS LEONISA RAYMUNDO,"Bookkeeping,GST Audit,Budgeting,Financial and Accounting Processes,HR Processes,Bookkeeping,Loan Finance and Leasing Advice,Grant Applications,Filing Tax Returns,GST",
120,CATALYST CORPORATE SERVICES PTE LTD,"13A , Mackenzie Road Singapore Singapore 228676 228676",+65 6227 4180,+65 6234 9213,secretarial@internalaudit.com.sg,www.konglim.com.sg,MR ONG LEE HOCK,"Corporate Secretarial & Management Services,Grant Applications,Business Valuation,Buying and Selling Businesses,Filing Tax Returns,GST,Corporate Governance,Business Formation/Start-Up,Business Plans,Payroll & HR Administration Services",
121,CAULFIELD INTERNATIONAL PAC,"1 , COLEMAN STREET THE ADELPHI THE ADELPHI #05-05 #05-05 Singapore Singapore 179803 179803",+65 6296 8436,+65 6334 8075,N/A,N/A,WILSON YEOH,"Statutory/ External Audit,Special Purpose Audit,Loan Finance and Leasing Advice,Financing Arrangement and Rearrangement,Corporate Secretariat Services,Filing Tax Returns,Tax Planning,Bookkeeping,Business Formation/Start-Up,Computerised Accounting Systems",
122,CAYMUS ONG & CO,"221 , Tembeling Road Singapore Singapore 423710 423710",+65 6344 1286,+65 6346 7383,ongvilla@singnet.com.sg,N/A,MR ONG KOK CHAI,Statutory/ External Audit,
123,CB YEO & ASSOCIATES,"158 , Cecil Street, Raffles Place Dapenso Building Dapenso Building #07-03 #07-03 Singapore Singapore 069545 069545",+65 6221 2288,N/A,N/A,N/A,MR YEO CHENG BOON,Statutory/ External Audit,
124,CG ALLIANCE,"60 , Paya Lebar Road Paya Lebar Square Paya Lebar Square #12-05 #12-05 Singapore Singapore 409051 409051",N/A,+65 6702 2120,gan@cgalliance.com.sg,www.CGalliance.com.sg,MR GAN SENG KWEE,"Statutory/ External Audit,Budgeting,Business Formation/Start-Up,Buying and Selling Businesses,Productivity & Innovation Credit (PIC),Financial and Accounting Processes,Bookkeeping,Bankruptcies and/or Liquidations,Company Listing,Corporate Secretariat Services,Computerised Accounting Systems,Filing Tax Returns,GST",
125,CHAI SON CHAN & CO,"118 , Joo Chiat Road #04-02 #04-02 Singapore Singapore 427407 427407",+65 6746 7188,+65 6746 7822,chaisc@chaisc.com,www.chaisc.com,CHAI SON CHAN,"Statutory/ External Audit,Grant Applications,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Productivity & Innovation Credit (PIC)",
126,CHAN & CHAN,"138 , Cecil St Cecil Court Cecil Court #06-01 #06-01 Singapore Singapore 069538 069538",+65 6294 1166,N/A,rayckchan@hotmail.com,N/A,MR CHAN CHEW KUAN RAYMOND,Statutory/ External Audit,
127,CHAN GEOK HUAT & CO.,"6001 , Beach Rd Golden Mile Tower Golden Mile Tower #19-10A #19-10A Singapore Singapore 199589 199589",+65 6297 2030,+65 6294 0501,nicemgt@singnet.com.sg,N/A,MR LAM,Statutory/ External Audit,
128,CHAN HOCK SENG & COMPANY,"1 , Sophia Rd Peace Centre Peace Centre #06-22 #06-22 Singapore Singapore 228149 228149",+65 6338 5912,+65 6339 1403,chanhsco@singnet.com.sg,N/A,MR CHAN SIEW KHAI,"Statutory/ External Audit,Business Formation/Start-Up,Filing Tax Returns,GST,Bookkeeping,Corporate Secretariat Services",
129,CHAN KOK POH & CO,"1 , Sims Lane #05-01 #05-01 Singapore Singapore 387355 387355",+65 6292 8192,+65 6841 9692,chankokpoh_cpa@yahoo.com.sg,N/A,MR CHAN KOK POH,Statutory/ External Audit,
130,CHAN LENG LENG & CO,"20 , Kramat Lane United House United House #03-02 #03-02 Singapore Singapore 228773 228773",N/A,+65 6738 2621,cll@proactiv.com.sg,N/A,MS CHAN LENG LENG,Statutory/ External Audit,
131,CHC & ASSOCIATES,"11 , Woodlands Close Woodlands 11 Woodlands 11 #09-45 #09-45 Singapore Singapore 737853 737853",+65 6334 7993,N/A,chanhc88@gmail.com,N/A,MR CHAN HENG CHONG,Statutory/ External Audit,
132,CHEAM H T & CO,"100 , Geylang Lor 23 D'Centennial Bldg D'Centennial Bldg #02-01 #02-01 Singapore Singapore 338729 338729",+65 6292 0093,N/A,cheamht@gmail.com,N/A,MR CHEAM HENG TENG,Statutory/ External Audit,
133,CHEW WHYE LEE PAC,"Blk 209 , New Upper Changi Road Bedok Town Centre Bedok Town Centre #03-635 #03-635 Singapore Singapore 460209 460209",N/A,+65 6445 2628,N/A,www.chewwhyelee.com,CHEW WHYE LEE,"Statutory/ External Audit,Charity Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Bookkeeping,Business Formation/Start-Up,Filing Tax Returns,GST",
134,"CHING, LIAW & YAP","5001 , Beach Rd Golden Miles Complex Golden Miles Complex #08-12 #08-12 Singapore Singapore 199588 199588",+65 6295 5600,+65 6295 5605,admin@agd.com.sg,N/A,MS YAP SIEW KUAN,Statutory/ External Audit,
135,CHNG WEE YIN & ASSOCIATES PAC,"Blk 246 , Macpherson Road Betime Building Betime Building #03-02 #03-02 Singapore Singapore 348578 348578",N/A,+65 6842 7625,patricia@cwy.com.sg,N/A,PATRICIA CHNG,Statutory/ External Audit,
136,"CHONG, LIM & PARTNERS LLP","12 , Tannery Road HB Centre 1 HB Centre 1 #10-01 #10-01 Singapore Singapore 347722 347722",+65 6225 5255,+65 6325 3838,admin1@ebcasia.com.sg,www.ebcAsia.com.sg,LIM SEOW HWA,"Statutory/ External Audit,Bookkeeping",
137,CHRISTIE CORPORATE SERVICES PTE LTD,"1 , Raffles Place Tower 2 Tower 2 #10-62 #10-62 Singapore Singapore 048616 048616",+65 6227 8266,+65 6227 8255,ccs@christiecorpsvc.com.sg,N/A,MR HAMISH ALEXANDER CHRISTIE,Statutory/ External Audit,
138,CHRISTOPHER CHAN & ASSOCIATES,"33 , Ubi Ave 3 Vertex Vertex #06-58 #06-58 Singapore Singapore 408868 408868",+65 6423 0100,+65 6423 0090,bangketchan@hotmail.com,N/A,MR CHAN GEOK LAI CHRISTOPHER,"Statutory/ External Audit,Business Formation/Start-Up,Filing Tax Returns,GST,Bookkeeping,Corporate Secretariat Services",
139,CHUA SIAK LENG & CO,Singapore Singapore,N/A,N/A,N/A,N/A,MR CHUA SIAK LENG,Statutory/ External Audit,
140,CHUA SOO CHIEW & ASSOCIATES PAC,"101 , Upper Cross Street People's Park Centre People's Park Centre #06-11 #06-11 Singapore Singapore 058357 058357",+65 6338 5255,+65 6338 1855,cscco@cscco-cpa.com.sg,N/A,MR CHUA SOO CHIEW,"Internal Audit,Advisory Services,Filing Tax Returns,GST,Corporate Secretariat Services",
141,CKS ASSOCIATES,"18 , Sin Ming Lane Midview City Midview City #08-06 #08-06 Singapore Singapore 573960 573960",N/A,+65 6659 4920,colinlee@creativehubs.com,www.creativehubs.com,MR LEE CHIA SIN,"Internal Audit,Advisory Services,Filing Tax Returns,GST,Bookkeeping","CKS Associates, a public accountants and chartered accountants firm in Singapore, being supported by a team of young and energetic working professionals, are dedicated and passionate about their works and are constantly in pursuit of excellent services to our clients while strike a balances of independent as a Public Accountant. CKS Associates has its established affiliations with accounting, audit advisory and consulting company in Malaysia, Vietnam, Cambodia and China, aim to provide a cost-effective yet the best services to our clients by striving always to exceed client expectations, ensure timely service delivery and pertaining to our responsibilities with thoroughness and integrity."
142,CLEMENT TAN & CO,"6001 , Beach Road Golden Mile Tower Golden Mile Tower #09-10 #09-10 Singapore Singapore 199589 199589",+65 6296 9274,+65 6291 7973,ctnco2@gmail.com,www.clementtanco.com,MR CLEMENT TAN,"Statutory/ External Audit,Bookkeeping",
143,CM LEONG & CO,"133 , New Bridge Road Chinatown Point Chinatown Point #11-01 #11-01 Singapore Singapore 059413 059413",+65 6538 6690,+65 6438 1453,lcm835btr@yahoo.com.sg,N/A,LEONG CHEE MENG,"Statutory/ External Audit,Gross Sales Certification,Filing Tax Returns,Bookkeeping",
144,COGENT AUDIT AND ASSURANCE,"27 , West Coast Highway Westway Westway #02-22 #02-22 Singapore Singapore 117867 117867",N/A,N/A,info@cogentaudit.com,www.cogentaudit.com,MS ANGELA MAK,"Advisory Services,Audit of Gross Turnover (GTO),Filing Tax Returns,GST","Cogent Audit and Assurance is a Singapore-based public accounting firm offering assurance, taxation, advisory and accounting services. Our team of professionals are constantly upgrading and keeping abreast of the latest developments and regulatory changes which enable us to keep up with market needs, allowing us to provide core and value-added services to our clients.   In this diverse and fast-changing business environment, we are committed in bringing the right teams to match our clients’ needs in terms of technical competences and capabilities in order to provide high quality, cost effective and efficient services.  Our objective is to establish a long-term professional relationship to grow with our clients and ultimately being a leading provider of professional solutions to their business needs."
145,CPA CHENGLAU,"27 , Woodlands Industrial Park E1 Hiangkie Industrial Building IV Hiangkie Industrial Building IV #03-02 #03-02 Singapore Singapore 757718 757718",+65 6362 5308,+65 6362 5108,enquiry@cpachenglau.com.sg,www.cpachenglau.com.sg,ANDREW,"Statutory/ External Audit,Financial and Accounting Processes",
146,CPA PRACTICE,"126 , Joo Seng Road Gold Pine Industrial Building Gold Pine Industrial Building #02-10 #02-10 Singapore Singapore 368355 368355",N/A,N/A,ireneakn@gmail.com,N/A,MS ANG KAR NGOR,Statutory/ External Audit,
147,CROWE HORWATH FIRST TRUST LLP,"8 , Shenton Way AXA Tower AXA Tower #05-01 #05-01 Singapore Singapore 068811 068811",62210338,62211080,marketing@crowe.sg,www.crowe.sg,,"Statutory/ External Audit,Internal Audit,Charity Audit,Advisory Services,Bookkeeping: GST Audit,Certification & Attestation,Corporate Secretarial & Management Services,Governance Audit,Special Purpose Audit,Bookkeeping,Grant Applications,Business Formation/Start-Up,Business Coaching,Business Plans,Business Valuation,Buying and Selling Businesses,Capital Investment,Capital Raising,Financial Restructuring,Initial Public Offerings,M&A Origination and Deal Management,Financial Investigation,Litigation Assistance,Payroll & HR Administration Services,Cross-border Investment Advisory,Set up Management Information Systems, Financial Management and Control Systems, etc,Financial and Accounting Processes,HR Processes,Company_Incorporation,Foreign Desk Services, Japan Desk,Transaction Advisory,Valuation,Due Diligence,Corporate Governance,Budgeting,Bankruptcies and/or Liquidations,Corporate Recovery,Receivership,Company Listing,Corporate Secretariat Services,Productivity & Innovation Credit (PIC),SPRING Singapore Schemes,IE Singapore Schemes,Investment & Tax Regimes (e.g. Cross Border Tax),Due Diligence for Overseas Projects,Computer Consultants,Computer Systems,Merger and Acquisition,Enterprise Risk Management,Financial Risk Management,International Tax Advisory,Filing Tax Returns,Tax Planning,GST,Transfer Pricing,International Tax Advisory (CHINA TAX)","Crowe Horwath First Trust is one of the leading mid-tier accounting and advisory service firms in Singapore. Crowe Horwath First Trust serves many growing businesses, public listed companies and multinationals in various industries providing impeccable service and consistent quality in audit, tax, advisory and outsourcing to meet the regulatory, compliance and advisory needs of a business. Through our core values of caring, sharing, investing and growing, Crowe Horwath First Trust holds itself to high standards of integrity and excellence, always striving to provide services that pay attention to our clients’ vision, strategy and goals."
148,CS ASSURANCE,"BLK 1 , IRVING PLACE THE COMMERZE@IRVING THE COMMERZE@IRVING #08-01 #08-01 Singapore Singapore 369546 369546",66998682,N/A,office@csassurance.com.sg,www.csassurance.com.sg,,"Statutory/ External Audit,Charity Audit,Advisory Services,Audit of Gross Turnover (GTO),Bookkeeping: GST Audit,Certification of Gross Sales,Corporate Secretarial & Management Services,Gross Sales Certification,MCST Audit,Sales Audit,Special Audit,Special Purpose Audit,Budgeting,Business Formation/Start-Up,Business Plans,Payroll & HR Administration Services,Bookkeeping,Business Solution Provider,Corporate Secretariat Services,Filing Tax Returns,Tax Planning,GST","CS Assurance is a growing public accounting firm with a team of qualified and experienced professionals working hand-in-hand with our clients to provide innovative business solutions and quality professional services. We provide a comprehensive range of services from auditing & assurance, accounting, bookkeeping & payroll, taxation to company incorporation & corporate secretarial services. We strive to add value to our clients' businesses and assist their growth and development."
149,CS LIEW & CO,"20 , McCallum Street Tokio Marine Centre Tokio Marine Centre #19-01 #19-01 Singapore Singapore 069046 069046",N/A,+65 6823 8201,enquiry@csliewco.com,www.csliewco.com,MR LIEW CHIN SIEN,"Advisory Services,Tax Planning","CS Liew & Co was established in 2017 as a trustworthy public accounting firm by Founder, Mr Liew Chin Sien. Our firm and its affiliates (CPA Group) providing a wide range of professional services including Audit & Assurance, Accounting, Taxation, Corporate Secretarial, Fraud Investigation & Forensic Accounting and Financial Reporting Standards Compliance Advisory.  Our Founder and a team of qualified professional staff with widespread experience across a variety of industry are always assist our clients to serve their needs by providing a high quality and value-added services.  Our clientele included SMEs and MNCs business from diverse range of industries. We are committed to our clients’ business challenges and respond with the most appropriate support and solutions."
150,CS TAN & CO,"6001 , Beach Road Golden Mile Tower Golden Mile Tower #11-07/08 #11-07/08 Singapore Singapore 199589 199589",+65 6293 1196,+65 6297 1165,gen@cstancpa.com.sg,www.cstancpa.com.sg,MR TAN JIN JAY,"Statutory/ External Audit,Business Formation/Start-Up,Business Coaching,Payroll & HR Administration Services,Filing Tax Returns,GST,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Financial and Accounting Processes,HR Processes","Since 1979, we help businesses navigate the increasingly complex business environment. Recognising every business is unique, we engage our clients proactively. With approximately 30 staff (with affiliates), we offer innovative tailored solutions at affordable rates so our clients can pursue their entrepreneurial ventures free of hassle."
151,CSI & CO. PAC,"10 , Anson Road International Plaza International Plaza #12-15 #12-15 Singapore Singapore 079903 079903",+65 6223 9166,+65 6225 7308,amy@csicpa.sg,N/A,AMY CHOONG,"Statutory/ External Audit,Charity Audit,Bankruptcies and/or Liquidations,Bookkeeping",
152,CTP PARTNERSHIP,"272A , River Valley Road Singapore Singapore 238315 238315",+65 6225 7628,+65 6224 0863,aric@aricpartners.com.sg,N/A,Mr Aric Loh,Statutory/ External Audit,
153,CWS & ASSOCIATES,"6001 , Beach Road Golden Mile Tower Golden Mile Tower #18-02 #18-02 Singapore Singapore 199589 199589",+65 6293 0350,+65 6296 0181,N/A,csk.com.sg/,VINCENT CHAN,"Statutory/ External Audit,Budgeting,Business Formation/Start-Up,Productivity & Innovation Credit (PIC),Financial and Accounting Processes,Due Diligence,Bookkeeping,Restructuring,Financial Investigation,Set up Management Information Systems, Financial Management and Control Systems, etc,Filing Tax Returns,GST",
154,CYPRESS SINGAPORE PAC,"1 , Scotts Road Shaw Centre Shaw Centre #21-06 #21-06 Singapore Singapore 228208 228208",N/A,+65 6737 8706,laicheng@cypresspac.com.sg,www.cypresspac.com.sg,MR LOK LAI CHENG,Statutory/ External Audit,
155,D'ARK ASSOCIATES,"100 , Beach Road Shaw Towers Shaw Towers #17-04 #17-04 Singapore Singapore 189702 189702",+65 6392 2583,N/A,helensim@d-ark.com.sg,N/A,"MS SIM CHENG GEOK, HELEN",Statutory/ External Audit,
156,D. ARUMUGAM & CO,"190 , Middle Road Fortune Centre Fortune Centre #10-03 #10-03 Singapore Singapore 188979 188979",+65 6334 2003,+65 6334 6205,N/A,N/A,DORAISAMY ARUMUGAM,"Statutory/ External Audit,Filing Tax Returns,GST,ISO Standard Compliance,Health, Safety and Environment",
157,DAN NG PING YUEN & CO,"180B , Bencoolen Street The Bencoolen The Bencoolen #06-04 #06-04 Singapore Singapore 189648 189648",+65 6338 2331,+65 6338 4883,N/A,N/A,DAN NG PING YUEN,"Statutory/ External Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Bookkeeping,Business Formation/Start-Up,Filing Tax Returns",
158,DAVID CHEW & YAP,"5001 , Beach Rd Golden Miles Complex Golden Miles Complex #08-12 #08-12 Singapore Singapore 199588 199588",+65 6295 5600,+65 6295 5605,admin@agd.com.sg,N/A,MS YAP SIEW KUAN,"Internal Audit,Loan Finance and Leasing Advice,Grant Applications,Financial and Accounting Processes,Bookkeeping,Business Formation/Start-Up,Business Intelligence,Filing Tax Returns,Tax Planning",
159,DE ASSOCIATES,"190 , Middle Road Fortune Centre Fortune Centre #10-06 #10-06 Singapore Singapore 188979 188979",+65 6336 3210,+65 6336 3810,admin@deassociates.com.sg,www.deassociates.com.sg,MS TAN SIOK HONG,"Statutory/ External Audit,GST,Bookkeeping,Due Diligence",
160,DELOITTE CONSULTING PTE LTD,"2 , Bukit Merah Central #06-00 #06-00 Singapore Singapore 159835 159835",N/A,+65 6535 7475,enquiries@deloitte.com,www.deloitte.com.sg,MR PHILIP YUEN,"Corporate Training Courses,Payroll & HR Administration Services,Financial and Accounting Processes,HR Processes,Computer Consultants,Computer Systems",
161,DELOITTE SINGAPORE,"6 , Shenton Way #33-00 OUE Downtown 2 OUE Downtown 2 #33-00 #33-00 Singapore Singapore 068809 068809",+65 6224 8288,+65 6538 6166,enquiries@deloitte.com,www.deloitte.com/sg,MR PHILIP YUEN,"Internal Audit,Advisory Services,Business Formation/Start-Up,Business Coaching,Business Valuation,Financial Restructuring,Enterprise Risk Management,Financial Risk Management,Transaction Advisory,Due Diligence,Bankruptcies and/or Liquidations,Corporate Recovery,ISO Standard Compliance,Health, Safety and Environment,Set up Management Information Systems, Financial Management and Control Systems, etc,Others,Filing Tax Returns,GST","Deloitte provides audit, tax, consulting and financial advisory services through 264,000 people in a globally connected network of member firms in more than 150 countries.   Deloitte Southeast Asia Ltd – a member firm of Deloitte Touche Tohmatsu Limited comprising practices in Brunei, Cambodia, Guam, Indonesia, Lao PDR, Malaysia, Myanmar, Philippines, Singapore, Thailand and Vietnam – delivers measurable value to SEA’s increasingly intra-regional and fast growing companies and enterprises.  Comprising approximately 330 partners and 8,000 professionals in 25 office locations, the subsidiaries and affiliates of Deloitte Southeast Asia Ltd combine their technical expertise and deep industry knowledge to deliver consistent high quality services to companies in the region."
162,DEXIN ASSURANCE,"110 , Middle road Chiat Hong Building Chiat Hong Building #07-03A #07-03A Singapore Singapore 188968 188968",+65 6265 2480,+65 6449 0106,general@dexin.sg,https://dexin.sg/,ZHAO YANG,"Statutory/ External Audit,Budgeting,Business Formation/Start-Up,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Grant Applications,Cash Flow Forecasting,Financial and Accounting Processes",
163,DHA + PAC,"63 , Market Street Bank of Singapore Centre Bank of Singapore Centre #05-01A #05-01A Singapore Singapore 048942 048942",N/A,+65 6532 0320,don@donhoassociates.com,www.dhapac.com,DON HO,"Advisory Services,Audit of Gross Turnover (GTO),Corporate Secretariat Services,Bankruptcies and/or Liquidations,Corporate Recovery",
164,DK & CO,Singapore Singapore,N/A,N/A,dahkhang@gmail.com,N/A,MR LEE DAH KHANG,Statutory/ External Audit,
165,DP & ASSOCIATES,"101A , Upper Cross Street People's Park Centre People's Park Centre #10-18 #10-18 Singapore Singapore 058358 058358",+65 6532 1033,+65 6532 1055,david@dpas.com.sg,N/A,MR POON LEE KIAN,"Statutory/ External Audit,Business Formation/Start-Up,Payroll & HR Administration Services,Bankruptcies and/or Liquidations,Financial Investigation,Filing Tax Returns,GST",
166,DYH ASSOCIATES,Singapore Singapore,N/A,N/A,yockhian.dan@gmail.com,N/A,MR DAN YOCK HIAN,Statutory/ External Audit,
167,E BUSINESS ACCOUNTING SERVICES & CONSULTANCY,"23 , Palm Grove Avenue #03-28 #03-28 Singapore Singapore 547325 547325",N/A,N/A,N/A,www.ebasic.com.sg,ELENA WEE,"Corporate Governance,Budgeting,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Payroll & HR Administration Services,Recruitment Services/Executive Search,Set up Management Information Systems, Financial Management and Control Systems, etc,Profit Improvement Programmes,Bookkeeping,Grant Applications,Business Formation/Start-Up,Business Coaching,Productivity & Innovation Credit (PIC),IDA Schemes,Computerised Accounting Systems,Financial and Accounting Processes,HR Processes,Filing Tax Returns,GST",
168,E M NG & CO,"10 , Jln Besar Sim Lim Tower Sim Lim Tower #12-05 #12-05 Singapore Singapore 208787 208787",+65 6296 2883,+65 6296 0852,emngco@singnet.com.sg,N/A,MR NG ENG MING,Statutory/ External Audit,
169,EBOS SG PTE LTD,"1100 , Lower Delta Road EPL Building EPL Building #02-05R2 #02-05R2 Singapore Singapore 169206 169206",N/A,+65 6377 7555,elisha@ebos-sg.com,www.ebos-sg.com,ELISHA YAP,"Business Formation/Start-Up,Business Coaching,Filing Tax Returns,GST",
170,ECHTUAL PAC,"15 , Beach Road Beach Centre Beach Centre #03-132 #03-132 Singapore Singapore 189677 189677",N/A,+65 6513 5871,info@echtual.com,www.echtual.com,MR VINCENT LEE,"Advisory Services,Advisory Services,Business Valuation,Bookkeeping","ECHTUAL is a progressive public accounting and consulting corporation.  Coined from the word “echt”, which means “authentic”, we cut to the chase so that you don't pay for frills, embellishments, or the unnecessary.  We keep it real so that you pay for efficiency, reliability and true quality.  Our focus is to help business owners shape their businesses and actualize solutions for them. And the progress we make together in achieving your business goals is how, we, measure our success."
171,ECOVIS ASSURANCE LLP,"100 , Tras Street 100AM 100AM #16-01 #16-01 Singapore Singapore 079027 079027",N/A,N/A,support@ecovis.com.sg,www.ecovis.com/singapore,MR CHEN XIONG ZHAO,Statutory/ External Audit,
172,ECOVIS BIZCORP MANAGEMENT PTE LTD,"100 , Tras Street 100AM 100AM #16-01 #16-01 Singapore Singapore 079027 079027",+65 6423 0030,+65 6227 7177,singapore@ecovis.com,www.ecovis.com.sg,JASON CHEN,"Statutory/ External Audit,Internal Audit,Bankruptcies and/or Liquidations,Corporate Secretariat Services,Payroll & HR Administration Services,Filing Tax Returns,GST,Bookkeeping,Business Formation/Start-Up,Productivity & Innovation Credit (PIC),Financial and Accounting Processes,Due Diligence",
173,EDDIE HO & ASSOCIATES,"20 , Maxwell Rd #05-06 #05-06 Singapore Singapore 069113 069113",+65 6227 9311,N/A,eddieho@singnet.com.sg,N/A,MR HO KUM WING EDDIE,"Business Valuation,Buying and Selling Businesses,Financial Investigation,Litigation Assistance",
174,EDWARD LEE & CO,"151 , Chin Swee Rd Manhattan House Manhattan House #06-05/07 #06-05/07 Singapore Singapore 169876 169876",N/A,+65 6735 7125,edleecc@singnet.com.sg,N/A,MISS YVONNE LEE,"Statutory/ External Audit,Internal Audit,Budgeting,Business Formation/Start-Up,Due Diligence,Bookkeeping,Bankruptcies and/or Liquidations,Filing Tax Returns",
175,EDWIN LEE & CO,"141 , Middle Road GSM Building GSM Building #06-06 #06-06 Singapore Singapore 188976 188976",+65 6339 9828,+65 6339 8816,accountants@edwinleeco.com,N/A,"MR LEE GUAN SENG, EDWIN","Statutory/ External Audit,Loan Finance and Leasing Advice,Grant Applications,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,Filing Tax Returns,GST,Bookkeeping,Bankruptcies and/or Liquidations,Corporate Recovery,Buying and Selling Businesses,Financial Restructuring,Computerised Accounting Systems,Due Diligence",
176,EDWIN LIM & CO,"3 , Pemimpin Drive Lip Hing Industrial Building Lip Hing Industrial Building #06-01 #06-01 Singapore Singapore 576147 576147",+65 6352 2778,+65 6353 3118,clientservice@edwinlimco.com,www.edwinlimco.com,"MR LIM WEE CHIANG, EDWIN","Internal Audit,Charity Audit,Budgeting,Restructuring,Business Valuation,Buying and Selling Businesses,Filing Tax Returns,GST,Bookkeeping,Financing Arrangement and Rearrangement,Grant Applications,Business Formation/Start-Up,Business Coaching,Corporate Secretariat Services,Due Diligence,Merger and Acquisition",
177,EDWIN TAY & CO.,"531A , Upper Cross Street Hong Lim Complex Hong Lim Complex #03-101 #03-101 Singapore Singapore 051531 051531",N/A,+65 6535 1886,edwin@edwintayco.com,www.edwintayco.com,EDWIN TAY,"Advisory Services,Audit of Gross Turnover (GTO),Business Formation/Start-Up,Business Coaching",
178,EISNERAMPER PAC,"1 , North Bridge Road High St Centre High St Centre #23-01 #23-01 Singapore Singapore 179094 179094",+65 6305 9900,+65 6336 0652,enquiries@eisneramper.sg,www.eisneramper.sg,MR. SAW MENG TEE,"Internal Audit,Charity Audit,Filing Tax Returns,GST,Business Formation/Start-Up,Business Coaching",
179,ELIZABETH LEONG & CO,"87 , Beach Rd Chye Sing Bldg Chye Sing Bldg #04-04 #04-04 Singapore Singapore 189695 189695",+65 6336 3220,+65 6336 3438,e_lco@yahoo.com.sg,N/A,MDM LEONG CHEE LENG,"Internal Audit,Charity Audit,Computerised Accounting Systems,Bookkeeping,Filing Tax Returns,GST",
180,EMPAC (EDWIN MARIO PUBLIC ACCOUNTING CORPORATION),"60 , Albert Street Albert Complex Albert Complex #12-05 #12-05 Singapore Singapore 189969 189969",N/A,+65 6933 9082,info@empac.sg,www.empac.sg,MR EDWIN HOOI,"Advisory Services,Audit of Gross Turnover (GTO),Financial Investigation,Litigation Assistance,Filing Tax Returns,GST,ISO Standard Compliance,Health, Safety and Environment,Enterprise Risk Management,Financial Risk Management",
181,ENSTON CORPORATE SERVICES PTE. LTD.,"77 , High Street High Street Plaza High Street Plaza #09-11 #09-11 Singapore Singapore 179433 179433",N/A,+65 6871 4108,info@enstoncorp.com.sg,www.enstoncorp.com.sg,HAN LYNN KYAW,"Bookkeeping,Tax Planning",
182,ENTERPRISE ACCOUNTANTS LLP,"12 , Tannery Road HB Centre 1 HB Centre 1 #10-01 #10-01 Singapore Singapore 347722 347722",+65 6225 5255,+65 6325 3838,admin1@ebcasia.com.sg,www.ebcAsia.com.sg,MAURICE GOH ENG KOON (Partner)Email: mg@ebcAsia.com.sgCHONG KEK SING (Partner)Email: CKS@ebcAsia.com.sg,"Statutory/ External Audit,Budgeting,Business Formation/Start-Up,Business Valuation,Productivity & Innovation Credit (PIC),Filing Tax Returns,GST,Bookkeeping,Bankruptcies and/or Liquidations,Health, Safety and Environment,Corporate Secretariat Services,Payroll & HR Administration Services,Due Diligence",
183,ENTERPRISE BIZPAL PTE LTD,"No. 1 , Yishun Industrial Street 1 A'Posh Bizhub A'Posh Bizhub #03-25 #03-25 Singapore Singapore 768160 768160",N/A,N/A,sales@enterprisebizpal.com,N/A,BERNARD CHIN,"Bookkeeping,Filing Tax Returns,GST",
